Label;year
W2078322106;2014
W2240636316;2015
W2241830184;2015
W2242675383;2015
W1511362807;1966
W1553211132;1999
W1591201066;1998
W1978745876;1986
W1982460824;2005
W2170038952;2004
W1968605169;2013
W1983724229;2002
W2242032006;2008
W88205991;1997
W1975066857;2012
W1982240393;1995
W2015700956;2010
W2022532965;2000
W2032526712;1993
W2084979898;2006
W2091388399;2005
W2244202010;2020
W2286247716;2020
W2577988709;1993
W1967171333;2003
W1981177057;2013
W2018381836;2003
W2022193270;2007
W2049986932;2008
W2402262524;2016
W2440056063;2016
W2610316813;2017
W2808640100;2018
W4254822622;2015
W1973632866;1993
W2725840796;2019
W3006273351;2020
W3138133292;2021
W1805591006;1996
W2100061327;1996
W2115729681;1995
W2130259794;1996
W2165274728;1995
W2021782696;2002
W2034693911;2002
W2035878034;1992
W2142075984;1988
W2080814506;2014
W2034148781;2013
W2319859768;2014
W2596333886;2014
W844522355;2015
W2532375790;2014
W1575182450;2006
W156102975;2000
W1492160417;1945
W1604726224;2004
W2105494787;2003
W2933157666;2006
W913698573;2015
W2125729860;2011
W2002159335;2012
W1973305932;2003
W2103045681;2011
W2103431886;2008
W2104588540;2007
W2140457244;2006
W2150804330;2008
W2145964860;2009
W2009958342;2004
W2130635973;2006
W2164196060;2005
W4301884364;2002
W2095673788;1997
W2136492614;2004
W2064025993;2010
W2126513319;2006
W2133695611;2004
W2145830323;2007
W2151403901;2004
W2163992430;2000
W2580835476;1999
W1831797190;2006
W2130736456;1988
W1982782178;2007
W2598244382;2009
W2372872729;2016
W130543444;1980
W1969282411;2014
W1994192477;2012
W2010556638;2012
W2017208685;2014
W2027494215;1999
W2036572675;2000
W2111508775;2013
W2125049507;2013
W2145593890;2012
W2164965146;1986
W2167581507;2011
W2993372843;2020
W1534177100;2015
W1977066284;2010
W1982954541;1999
W2013549369;2010
W2033423169;2015
W2062947309;2014
W2079567813;2013
W2094310597;2011
W2100071513;2008
W2117120189;2013
W2132744479;2011
W2247520871;2015
W2349449639;2016
W2522980220;2016
W2558166102;2016
W2558484542;2016
W2568887409;2017
W2787901054;2018
W2791881301;2017
W2807204023;2018
W2907281321;2019
W2908677178;2019
W1985772766;2014
W1551717579;1997
W1978975222;2009
W1998629555;2006
W2006879486;2009
W2008402888;2007
W2020451754;2011
W2083424328;2004
W2117222399;1991
W2119127826;2009
W2127482549;2009
W2156240711;2009
W2171675665;2009
W4230351793;2008
W4231603300;2008
W4235245189;2008
W4240355371;2008
W4241304178;2008
W4249395625;2004
W2194629743;2010
W1527967049;2002
W2035290346;1994
W2072516019;2005
W2123189502;2004
W2333828443;2008
W2082590411;2012
W70785964;1998
W1968702492;2006
W1970464020;1981
W2018664825;1981
W2035249224;1988
W2109169236;1998
W2113704671;1981
W2158720061;2011
W3128690923;2013
W2107270823;2001
W2065094538;2002
W4233522785;1910
W2068746692;2008
W2134062730;1988
W2059171602;2013
W2137683306;2001
W1993154455;1990
W2559830063;2017
W2013743796;2012
W2029472145;1994
W2074940124;2011
W2090968075;2013
W2131332922;2011
W2150606304;2008
W2156857127;1998
W2159640297;2012
W2295617407;2016
W2319169896;2015
W2331281661;2014
W2020566229;2004
W610775983;1998
W2026459811;2010
W2115124258;2005
W2123598115;2008
W2084882527;2012
W563105137;2013
W595209998;1992
W1997212485;2012
W2022216785;2012
W2108859562;2011
W2118182870;2009
W2269334930;2011
W2159451982;2007
W2000117884;1992
W2162596759;2009
W2990743368;2020
W2075084437;2013
W2084102225;2012
W2097082211;2006
W2131867432;2012
W2140946518;2005
W2158331690;2012
W2314988529;2016
W2808258769;2018
W2908871371;2019
W2913090721;2019
W2017590721;2008
W2979449726;2019
W2056141637;2012
W1687397888;1977
W2082188638;2012
W1995106898;1999
W2031408912;1996
W2113349121;2010
W2125989894;2009
W2126863044;2004
W2133869980;2010
W2152119150;2010
W2158967172;2010
W4248684155;2011
W4252842235;2004
W2112373759;2010
W1990445890;1996
W2086791056;1995
W2090072235;1994
W2124183290;2000
W2335007641;2011
W1974198110;2008
W2082428001;2010
W2114307600;1999
W2533432149;2009
W2799281091;2009
W1964861149;2005
W2973608166;2019
W2622994063;2017
W2046316937;2010
W3042814439;2020
W1504768446;2011
W1539718829;2011
W1815973128;2016
W1988204608;2014
W2012387205;2004
W2039038342;2015
W2065784105;1993
W2346596194;2016
W2537318859;2016
W2771963323;2017
W2801909086;2018
W2885318198;2019
W2955185336;2019
W2955255857;2019
W1754530322;2007
W1832139567;2006
W2032444101;2006
W2058805168;2013
W1607248190;2004
W1726246535;2011
W1971125186;2010
W1975240415;2011
W2051446192;2010
W2062809883;2010
W2070325480;2012
W2294742077;2008
W2768848891;2018
W1971972223;2014
W3121927255;2012
W3011210811;2019
W2007894276;2005
W2071703570;1999
W2085326014;2005
W2104912806;2005
W2133819396;2007
W2887360732;2018
W2936846186;2018
W2937710488;2018
W4240626957;2013
W4245932114;2003
W2150104072;2006
W2104291990;2007
W2021371870;2006
W2129476851;2006
W2129690641;2006
W2162882918;2006
W2170588278;2006
W2794059501;2018
W1966202289;2008
W2008808789;2006
W2025764524;2007
W2061891714;2001
W2147319681;2007
W2161031820;2008
W2163862779;2008
W2316027047;2008
W2329811223;2008
W3144893852;2009
W2411245521;2010
W2092877749;2007
W1995006727;2001
W2922456619;2018
W2001095970;2013
W2030101374;2013
W2042150967;2012
W2084003578;2013
W2104842268;2011
W2111760534;2008
W2557589521;2016
W2772787800;2017
W2774190983;2017
W3126745653;2020
W2086830342;2001
W2549388509;2017
W2912009342;2019
W1606709835;2015
W2021718041;2014
W1996623088;2013
W849123416;2013
W1529609802;2004
W1982581634;1996
W2001528991;2012
W2123517754;2009
W2146877239;1997
W2150856872;2005
W2169048790;2003
W2161067357;2006
W1533231478;1996
W2109041275;1996
W2148895933;2001
W2154110094;2000
W2134440444;2006
W2149242086;2004
W2319333096;2009
W4245486531;2008
W3127833645;2021
W2624412873;2017
W2767119699;2017
W2775857616;2018
W2941899821;2019
W2948541259;2019
W2959450791;2019
W2969632629;2019
W2974300005;2019
W3009693822;2020
W3013264597;2020
W3018761395;2019
W3020995496;2020
W3042571433;2020
W2042742002;2013
W1530371870;1967
W1585375249;1995
W2056921286;2013
W2165877586;2012
W2409018857;['']
W2061218383;2012
W1985980973;2012
W1999429697;2010
W2008746061;1996
W2044910548;1993
W2087353205;2012
W2105559076;2010
W2112063151;2009
W2134890639;2009
W2164350581;2010
W3203748497;1988
W2151081070;2009
W616191564;1978
W1498503349;2004
W1993713050;2002
W2058735392;1995
W2144572885;2007
W2169042394;2008
W2186281848;2011
W563897504;2007
W4232872188;2007
W2056732407;1995
W2158700057;1994
W2729596316;1998
W786382293;2007
W2395012455;2003
W1571801217;2008
W2340823688;2003
W1963505386;2005
W1977641173;2002
W2045634389;1996
W2101557449;2003
W2107350127;1998
W2113596275;2002
W2120644342;1998
W2121233117;2003
W2138747033;2004
W2142438980;2002
W2142790909;1995
W2151664215;2000
W2160982167;2005
W2164076829;2001
W2168159890;2004
W2170143795;2001
W115394847;1980
W169338401;2001
W1979257363;1993
W2008953224;1993
W2033019731;2005
W2040028295;2006
W2120879284;2000
W2145201799;1999
W2152056649;1993
W2282273100;1999
W3080808717;2004
W1984796830;2004
W2440166457;2015
W2598147724;2017
W2913426423;2019
W2313220509;2016
W770838954;2015
W1968897564;2006
W1970619894;2014
W2070803975;2014
W2074512879;2006
W2081266971;2011
W2104768413;2010
W2110295363;2011
W2125051604;2007
W2165332483;2010
W2234129810;2016
W2273814545;2016
W2274600579;2016
W2345677498;2016
W2529455932;2016
W2781906650;2018
W2801157788;2018
W2886953403;2019
W2914619709;2019
W2954805281;2019
W2074908579;1953
W2093801805;2008
W2071873214;2005
W80267047;2003
W1576543136;2009
W1589482818;1987
W1915475347;2003
W1969341769;2003
W2079786312;2004
W2118794628;2006
W2233969235;1991
W2052885463;2012
W1991711583;2015
W2149338788;2000
W2104788573;1995
W2138451337;1991
W2385945758;2020
W2462375910;2020
W2616810359;2020
W153203301;2010
W1973682424;2001
W2110784077;2011
W2148815948;2012
W1075264574;2015
W1969422238;2006
W1985115778;2009
W1996551185;1990
W2063623989;1973
W2063985975;2013
W2077846548;2009
W2084546104;2010
W2091795245;2001
W2106672917;2008
W2130490306;2011
W2145442341;2008
W2273699447;2014
W2741433389;2017
W2777454763;2018
W2802514116;2018
W2807390350;2018
W2901475101;2019
W2913620112;2019
W2949635779;2019
W2978658839;2019
W1513284662;2008
W2088491602;2000
W2098970544;2000
W2559541679;2017
W2571496559;2017
W2574053176;2017
W2582108250;2017
W2597010129;2015
W2752380819;2018
W2770490775;2017
W2771941857;2018
W2802190363;2018
W2947091261;2019
W2947667874;2019
W2962903009;2018
W2003007230;2010
W2075441614;2014
W365761535;2015
W1596245673;2005
W2133184879;1997
W2135995390;2008
W2161419106;1992
W2189163268;2015
W2340450081;2015
W2558042420;2016
W2770703731;2018
W2793924814;2018
W2885718406;2018
W2954455822;2020
W2180819058;2015
W2997410044;2020
W2128836818;2007
W2170743776;2007
W2087089301;2013
W2170368393;2013
W138362238;1998
W841459867;2015
W2160790922;2012
W1996398088;2013
W170814503;1998
W1994440392;1998
W2031197011;1999
W2114460579;2004
W2135158642;2002
W2162757490;2003
W1965484045;1999
W2032916042;2011
W2054119368;2004
W2164075141;2000
W2564401117;2020
W2603889381;2012
W1522818279;1999
W2084307190;1996
W2098243849;2000
W2478389640;1997
W367426078;2012
W598510962;2010
W598520007;2008
W615149457;2011
W1493735179;1996
W1534459084;2011
W1534855236;2009
W1547209402;2007
W1555915743;1989
W1567646530;1993
W1580934452;2000
W1590348499;2007
W1603134518;2005
W1669302834;2007
W1692007452;2013
W1745980198;2005
W1980542474;2012
W2006054875;2012
W2007588840;2012
W2008529361;2012
W2014150767;2012
W2018982470;2007
W2023831909;2008
W2031416662;2011
W2064503577;2007
W2110025685;2008
W2115639406;2008
W2117541625;2010
W2132367502;2008
W2133299437;2007
W2135552360;2008
W2144141446;2008
W2148104037;2008
W2149568614;2008
W2152221504;2010
W2159280133;2009
W2160667604;2008
W2171363280;2011
W2227335732;2011
W2412550452;2005
W2479163984;2011
W3014432966;2013
W163099575;2005
W1557677827;2015
W2000777392;2003
W2186427145;2015
W2336222260;2016
W2404128142;2016
W2523412461;2016
W2552974031;2016
W2603929494;2017
W2608595796;2016
W4256268182;2015
W227127889;2020
W1606595846;2015
W2004853566;2013
W2093860986;2008
W2329498872;2014
W2765425667;2017
W2783367525;2017
W1967070100;2010
W2004638861;2006
W2030899713;2001
W2045611187;2007
W2092530867;2013
W2952696938;2014
W1972328497;2013
W1989052186;2011
W2004825821;2007
W2012502132;2002
W2020746605;2013
W2029609730;2012
W2049434297;2012
W2069133348;2010
W2071494917;2012
W2077861593;2006
W2082570245;2012
W2097065647;2010
W2097359487;2004
W2121745999;2011
W2123022663;2011
W2123805500;2002
W2132699814;2009
W2146663043;2000
W2166438965;2014
W2205234951;2015
W2536476972;2013
W2012916363;2013
W1516569431;2016
W1989073000;2012
W2073253372;2007
W131056021;2001
W579601012;2006
W1964651932;2009
W2023860755;2010
W2079225728;2010
W2810665139;2009
W1974793507;2012
W2018406551;2012
W2093272089;1963
W2095732643;2009
W2098484510;2005
W1973558204;2012
W2088833460;2012
W2102299505;2006
W2136509529;2006
W2164421207;2002
W2548206048;2009
W1895743520;2004
W2123277104;['']
W2128391509;2008
W2490730195;2013
W910282484;2016
W1585207249;1988
W2311105273;2016
W1604767329;1999
W2007444002;1994
W2104779202;1999
W2110100220;2000
W2134443643;2000
W2084864822;2011
W2574382291;2015
W2614097460;2011
W109490496;2001
W577288449;2014
W749379494;2015
W2126807618;2011
W2144680124;2010
W2313714659;2010
W1964390226;1999
W2037511166;1988
W2084042723;2013
W2107605390;1962
W2166871782;2013
W2463581516;2020
W2591346052;2016
W2606039630;2017
W2730297878;2007
W1972832951;2005
W1986569002;1998
W2036007317;2010
W2606261938;2017
W189178477;2013
W1669132686;2015
W1976343235;2005
W2016617706;2015
W2158914121;2012
W2293857999;2015
W2343541124;2016
W2512104077;2016
W2529253797;2016
W2567432640;2016
W2725545348;2016
W2768962504;2017
W2897467527;2019
W2908139051;2018
W1942501276;2015
W2550592295;2017
W2599318300;2020
W2773244001;2018
W2906751579;2018
W2950303710;2019
W3012475454;2019
W3037146935;2020
W3037169671;2020
W3041281670;2020
W3093056798;2020
W2167402367;2011
W2398625819;2016
W2564565076;2016
W2608910582;2017
W2948610295;2019
W2991373392;2019
W3112434583;2020
W81685006;2012
W1552001471;2008
W2069098164;2012
W2113079434;1996
W2119305161;2007
W2140657757;1999
W2306191175;2016
W2579193782;1992
W2807921087;2018
W3019919543;2020
W4253511663;1996
W2259318523;2017
W2807436627;2018
W2809508384;2019
W3037979324;2020
W2029237905;2015
W2129952242;2014
W2150955132;2012
W2154215525;2012
W2803673508;2009
W3018973554;2015
W246576801;2012
W649402429;2012
W1987480736;2005
W2014715053;2014
W2038007118;2008
W2043996839;2014
W2071944599;2008
W2116257273;2005
W2537018651;2017
W2766484411;2016
W2791287418;2018
W2882716197;2018
W2913624861;2019
W2970224641;2021
W2971053751;2014
W15812739;2003
W124067956;1999
W141806827;1994
W259625306;1989
W645024889;2000
W1555174781;1971
W1575832438;2000
W1857444902;2012
W1875620976;2010
W1964522942;2011
W2025199052;2000
W2044275064;1983
W2153978494;2004
W2164295948;2012
W2297585640;2000
W2330569615;1989
W2517457758;['']
W2798752745;1961
W2892219820;1990
W1515005043;2015
W1515394277;2015
W1554475959;2016
W2299828323;2016
W2490272011;2016
W2559318347;2017
W2621793061;2017
W2788850485;2018
W2793040735;2018
W2794232526;2018
W2802345631;2018
W2899290882;2017
W2933830405;2019
W2949119746;2019
W2953643636;2019
W2963602494;2019
W2990690745;2019
W2997251554;2019
W2998053377;2019
W3000161542;2019
W3006339788;2020
W3007335353;2020
W3014510539;2020
W3022731961;2020
W3085454847;2020
W4254721165;2020
W1990897273;2015
W2046668274;2015
W2088523208;2015
W2772511951;2017
W2039123468;2001
W2517616435;2016
W2972677174;2019
W2972817084;2019
W3092687183;2020
W3123999981;2021
W2023557850;2012
W2123110920;2004
W2129458501;2011
W2156892839;2008
W2288786724;2016
W2290217614;2015
W2804871124;2018
W3008309719;2020
W3025561215;2020
W3099383686;2019
W3141474876;2021
W3144543375;2021
W4243213461;2019
W4248907478;2012
W1967870582;2010
W1997037525;2009
W2015150149;2008
W2037457798;2011
W2080328078;2011
W2090137627;2011
W2147717152;2006
W2148933019;2009
W3157710891;2013
W1845285625;2010
W2209904278;2010
W2136498782;2007
W1539265701;2001
W67404975;2002
W1973440640;2013
W2895518762;2012
W2131442425;2010
W205596583;2007
W2037270872;2005
W1542932561;2007
W578996322;2009
W2460744308;2016
W123520833;1997
W178740406;2006
W1508078757;1983
W1590937613;1972
W2135413616;2005
W1527311855;1984
W1930483192;2015
W1967416594;2012
W1968090155;2012
W1968611657;2013
W1971336774;2009
W2070870666;2010
W2083641781;2010
W2104685005;2009
W2108625275;2010
W2163371758;2003
W2510561621;2016
W1972584516;2014
W1634729667;2013
W1967742762;1992
W2010055302;2010
W2085131227;1990
W2131453475;2008
W2143630684;2007
W2158544761;2006
W2317513305;2009
W2532181090;2013
W2593288352;2013
W2287224474;2008
W2154211195;2014
W1965744294;1966
W2067021367;1968
W2067766220;1976
W2134589867;1999
W86069592;1998
W3174158698;2021
W2035454764;2011
W2081489056;2012
W2105768140;2011
W2315740750;2016
W2574439323;2017
W2577533918;2017
W2783297770;2018
W2811201209;2019
W4254793414;2015
W2012065232;2012
W1978684417;1959
W2032139148;1981
W2107110829;2001
W2108107446;2006
W2505290774;2011
W613266053;2006
W2034240652;1970
W2177158820;2009
W574628281;1999
W637830838;2001
W1166749234;2004
W1482806262;1995
W1498676590;1999
W1526538092;2003
W1600912621;1986
W1811976956;1990
W1981735521;1974
W1995595894;2003
W2027466325;2005
W2061259142;1993
W2098712710;1998
W2109505282;['']
W2115942706;2012
W2257380876;2004
W2306001174;2005
W2590226783;2001
W2785930970;2004
W611937922;1996
W1489934839;1997
W1513866122;2000
W1548906858;1990
W1576317449;1997
W1593545921;1991
W1751493675;2015
W1964311422;1995
W1995265093;1977
W2046878434;1992
W2093870995;1989
W1980828635;2011
W2022890407;2009
W2024950093;2012
W2041750549;2012
W2104834104;2008
W2188822742;2012
W22819;1999
W136100716;['']
W2092670166;2012
W2184688654;2011
W2275413729;2011
W2085318775;2010
W6428679;1996
W134415439;2006
W614072125;1989
W1591469149;2012
W1597335289;2010
W1892557068;1995
W1977093570;1997
W2026507183;1995
W2053749595;2005
W2089735594;1988
W2104403300;2003
W2132258527;2007
W2137587429;2004
W2156334338;2011
W2185703560;1966
W2257451327;2020
W2411089444;1989
W2579931700;2020
W2591891161;['']
W2655417648;2020
W2987254063;2010
W1967613555;2004
W2075456498;2008
W2802055880;2009
W66293389;2002
W151117440;2012
W204705967;2002
W291416388;2011
W1567001300;2005
W1569654560;2003
W2005372536;2006
W2024813375;2012
W2056985505;2008
W2084027768;2009
W2085216244;2011
W2092587332;1999
W2133084664;2003
W2137512790;2011
W2147430942;2007
W2197843617;2010
W2222476678;['']
W2434872818;2014
W2804154750;2006
W2894752933;2013
W3111542755;2019
W3146425672;1986
W58973789;2012
W2010849155;2012
W2495333385;2010
W172211102;2005
W586570412;2008
W1034800962;1999
W2301267657;1996
W1845089752;2007
